home_team,away_team,home_score,away_score,tournament,city,country,neutral
Wasl,Wahda,2,1,UAE League Cup,Dubai,United Arab Emirates,FALSE
Wasl,Nasr,1,0,UAE Pro League,Dubai,United Arab Emirates,FALSE
Wasl,Emirates,7,1,UAE President's Cup,Dubai,United Arab Emirates,FALSE
Emirates,Wasl,0,2,UAE Pro League,Ras al-Khaimah,United Arab Emirates,FALSE
Wasl,Sharjah,2,0,UAE Pro League,Dubai,United Arab Emirates,FALSE
Wahda,Wasl,4,0,UAE League Cup,Abu Dhabi,United Arab Emirates,FALSE
Baniyas,Wasl,0,2,UAE Pro League,Abu Dhabi,United Arab Emirates,FALSE
Wasl,Khor Fakkan,3,0,UAE Pro League,Dubai,United Arab Emirates,FALSE
Jazira,Wasl,0,3,UAE President's Cup,Ain,United Arab Emirates,TRUE
Ajman,Wasl,1,4,UAE Pro League,Ajman,United Arab Emirates,FALSE
Wasl,Hatta,3,0,UAE Pro League,Dubai,United Arab Emirates,FALSE
Wasl,Jazira,2,2,UAE Pro League,Dubai,United Arab Emirates,FALSE
Wasl,Kalba,4,1,UAE President's Cup,Sharjah,United Arab Emirates,TRUE
Bataeh,Wasl,1,4,UAE Pro League,Sharjah,United Arab Emirates,FALSE
Wasl,Wahda,1,4,UAE Pro League,Dubai,United Arab Emirates,FALSE
Wasl,Nasr,4,0,UAE President's Cup,Ain,United Arab Emirates,TRUE
Ahli,Baniyas,2,1,UAE President's Cup,Dubai,United Arab Emirates,FALSE
Ahli,Ajman,3,0,UAE Pro League,Dubai,United Arab Emirates,FALSE
Khor Fakkan,Ahli,0,3,UAE Pro League,Khor Fakkan,United Arab Emirates,FALSE
Ahli,Bataeh,2,1,UAE Pro League,Dubai,United Arab Emirates,FALSE
Wahda,Ahli,3,3,UAE Pro League,Abu Dhabi,United Arab Emirates,FALSE
Sharjah,Ahli,3,4,UAE President's Cup,Dubai,United Arab Emirates,TRUE
Ahli,Jazira,3,2,UAE Pro League,Dubai,United Arab Emirates,FALSE
Nasr,Ahli,3,2,UAE Pro League,Dubai,United Arab Emirates,FALSE
Ahli,Kalba,4,1,UAE Pro League,Dubai,United Arab Emirates,FALSE
Ain,Ahli,1,2,UAE Pro League,Ain,United Arab Emirates,FALSE
Nasr,Ahli,4,3,UAE President's Cup,Dubai,United Arab Emirates,TRUE
Ahli,Sharjah,3,1,UAE Pro League,Dubai,United Arab Emirates,FALSE
Emirates,Ahli,2,3,UAE Pro League,Ras al-Khaimah,United Arab Emirates,FALSE
Wahda,Sharjah,1,1,UAE Pro League,Abu Dhabi,United Arab Emirates,FALSE
Ain,Wahda,1,0,UAE President's Cup,Ain,United Arab Emirates,FALSE
Bataeh,Wahda,1,2,UAE Pro League,Sharjah,United Arab Emirates,FALSE
Wahda,Jazira,2,1,UAE Pro League,Abu Dhabi,United Arab Emirates,FALSE
Hatta,Wahda,0,4,UAE Pro League,Hatta,United Arab Emirates,FALSE
Wahda,Baniyas,3,1,UAE Pro League,Abu Dhabi,United Arab Emirates,FALSE
Kalba,Wahda,1,0,UAE Pro League,Kalba,United Arab Emirates,FALSE
Wahda,Ajman,1,2,UAE Pro League,Abu Dhabi,United Arab Emirates,FALSE
Emirates,Wahda,0,0,UAE Pro League,Ras al-Khaimah,United Arab Emirates,FALSE
Wahda,Ain,1,0,UAE League Cup,Abu Dhabi,United Arab Emirates,TRUE
Wahda,Nasr,1,0,UAE Pro League,Abu Dhabi,United Arab Emirates,FALSE
Kalba,Ain,0,2,UAE League Cup,Kalba,United Arab Emirates,FALSE
Nasaf,Ain,0,0,AFC Champions League,Qarshi,Uzbekistan,FALSE
Ain,Nasaf,2,1,AFC Champions League,Ain,United Arab Emirates,FALSE
Baniyas,Ain,0,1,UAE Pro League,Abu Dhabi,United Arab Emirates,FALSE
Ain,Hatta,5,3,UAE Pro League,Ain,United Arab Emirates,FALSE
Ain,Nassr,1,0,AFC Champions League,Ain,United Arab Emirates,FALSE
Ain,Kalba,0,2,UAE League Cup,Ain,United Arab Emirates,FALSE
Nassr,Ain,4,3,AFC Champions League,Riyadh,Saudi Arabia,FALSE
Ajman,Ain,0,4,UAE Pro League,Ajman,United Arab Emirates,FALSE
Ain,Sharjah,1,1,UAE Pro League,Ain,United Arab Emirates,FALSE
